title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
AFIS-fullmektig,afis-fullmektig,Kontoryrker,4323,662760,7087,Videregående,https://utdanning.no/yrker/y_afisfullmektig
Adjunkt,adjunkt,Akademiske yrker,2341,705000,80404,Bachelor,https://utdanning.no/yrker/y_adjunkt
Advokat,advokat,Akademiske yrker,2611,969960,11520,Master,https://utdanning.no/yrker/y_advokat
Advokatassistent,advokatassistent,Høyskoleyrker,3342,659160,751,,https://utdanning.no/yrker/y_advokatassistent
Agronom,agronom,Akademiske yrker,2132,741960,593,Bachelor,https://utdanning.no/yrker/y_agronom
Aksjemegler,aksjemegler,Høyskoleyrker,3311,1064160,5211,,https://utdanning.no/yrker/y_aksjemegler
Aktivitør,aktivitoer,Salgs- og serviceyrker,5321,617160,94246,,https://utdanning.no/yrker/y_aktivitor
Aktuar,aktuar,Akademiske yrker,2120,796800,1759,,https://utdanning.no/yrker/y_aktuar
Akupunktør,akupunktoer,Høyskoleyrker,3230,660000,206,,https://utdanning.no/yrker/y_akupunktor
Allmennlege,allmennlege,Akademiske yrker,2211,996960,7468,,https://utdanning.no/yrker/y_allmennlege
Aluminiumskonstruktør,aluminiumskonstruktoer,Håndverkere,7214,587400,3746,Bachelor,https://utdanning.no/yrker/y_aluminiumskonst
Ambassadør,ambassadoer,Ledere,1112,1434240,984,Master,https://utdanning.no/yrker/y_ambassador
Ambulansearbeider,ambulansearbeider,Høyskoleyrker,3258,711120,5604,Bachelor,https://utdanning.no/yrker/y_ambulansearbeider
Anestesilege,anestesilege,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_anestesilege
Anestesisykepleier,anestesisykepleier,Akademiske yrker,2221,765720,29478,Master,https://utdanning.no/yrker/y_anestesisykepleier
Animatør,animatoer,,,,,Bachelor,https://utdanning.no/yrker/y_animator
Anleggsgartner,anleggsgartner,"Bønder, fiskere mv.",6113,526320,5073,,https://utdanning.no/yrker/y_anleggsgartner
Anleggsmaskinfører,anleggsmaskinfoerer,"Prosess- og maskinoperatører, transportarbeidere mv.",8342,618120,19581,Fagbrev/fagskole,https://utdanning.no/yrker/y_anleggsmaskin
Anleggsmaskinmekaniker,anleggsmaskinmekaniker,Håndverkere,7233,642480,21695,Fagbrev/fagskole,https://utdanning.no/yrker/y_anleggsmaskinmek
Anleggsrørlegger,anleggsroerlegger,Håndverkere,7126,645000,17683,,https://utdanning.no/yrker/y_anleggsrorlegger
Ansatt i Forsvaret,ansatt-i-forsvaret,Militære yrker og uoppgitt,0210,969120,5021,,https://utdanning.no/yrker/y_ansatt_forsvaret
Antikvar,antikvar,Akademiske yrker,2621,672960,1607,Master,https://utdanning.no/yrker/y_antikvar
Apoteker,apoteker,Akademiske yrker,2262,754080,1865,Master,https://utdanning.no/yrker/y_apoteker
Apotektekniker,apotektekniker,,,,,Videregående,https://utdanning.no/yrker/y_apotektekniker
Arbeidsleder bygg og anlegg,arbeidsleder-bygg-og-anlegg,Høyskoleyrker,3123,798600,11898,Fagbrev/fagskole,https://utdanning.no/yrker/y_bygganleggleder
Arbeidsleder innen industri og produksjon,arbeidsleder-innen-industri-og-produksjon,Høyskoleyrker,3122,724200,4173,Fagbrev/fagskole,https://utdanning.no/yrker/y_arbeidsleder_industr
Arbeidsmedisiner,arbeidsmedisiner,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_arbeidsmedisiner
Arealplanlegger,arealplanlegger,Akademiske yrker,2164,817680,1442,Master,https://utdanning.no/yrker/y_arealplanlegger
Arkeolog,arkeolog,Akademiske yrker,2633,700560,259,,https://utdanning.no/yrker/y_arkeolog
Arkitekt,arkitekt,Akademiske yrker,2161,900120,6269,,https://utdanning.no/yrker/y_arkitekt
Arkivar,arkivar,Akademiske yrker,2621,672960,1607,,https://utdanning.no/yrker/y_arkivar
Aromaterapeut,aromaterapeut,Salgs- og serviceyrker,5142,471960,2911,Ingen formelle krav,https://utdanning.no/yrker/y_aromaterapeut
Arrangementsplanlegger,arrangementsplanlegger,Høyskoleyrker,3332,671280,1223,,https://utdanning.no/yrker/y_arrangement
Art director,art-director,Ledere,1222,997560,1861,,https://utdanning.no/yrker/y_art_director
Asfaltør,asfaltoer,"Prosess- og maskinoperatører, transportarbeidere mv.",8342,618120,19581,Fagbrev/fagskole,https://utdanning.no/yrker/y_asfaltor
Astrofysiker,astrofysiker,Akademiske yrker,2111,909480,523,Doktorgrad,https://utdanning.no/yrker/y_astrofysiker
Astronaut,astronaut,,,,,Doktorgrad,https://utdanning.no/yrker/y_astronaut
Au pair,au-pair,,,,,Videregående,https://utdanning.no/yrker/y_aupair
Audiograf,audiograf,Akademiske yrker,2266,652920,732,,https://utdanning.no/yrker/y_audiograf
Audiopedagog,audiopedagog,Akademiske yrker,2352,679320,2923,Master,https://utdanning.no/yrker/y_audiopedagog
Automatiker,automatiker,Håndverkere,7412,720960,6189,,https://utdanning.no/yrker/y_automatiker
Avioniker,avioniker,Håndverkere,7232,789720,1159,,https://utdanning.no/yrker/y_avioniker
Avisbud,avisbud,"Renholdere, hjelpearbeidere mv.",9621,471120,3217,,https://utdanning.no/yrker/y_avisbud
Avløser,avloeser,"Bønder, fiskere mv.",6121,457920,3187,Bachelor,https://utdanning.no/yrker/y_avloser
Badevakt,badevakt,Salgs- og serviceyrker,5419,508080,3160,,https://utdanning.no/yrker/y_badevakt
Baker,baker,Håndverkere,7512,509880,1531,,https://utdanning.no/yrker/y_baker
Banemontør,banemontoer,"Prosess- og maskinoperatører, transportarbeidere mv.",8342,618120,19581,Videregående,https://utdanning.no/yrker/y_banemontor
Barista,barista,Salgs- og serviceyrker,5131,448200,22815,,https://utdanning.no/yrker/y_barista
Barne- og ungdomsarbeider,barne-og-ungdomsarbeider,Salgs- og serviceyrker,5311,499320,92810,,https://utdanning.no/yrker/y_barne_ungdomsarb
Barne- og ungdomspsykiater,barne-og-ungdomspsykiater,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_barne_ungdomspsyk
Barne- og ungdomspsykolog,barne-og-ungdomspsykolog,Akademiske yrker,2634,795240,9490,,https://utdanning.no/yrker/y_barne_ung_psyk
Barnehageassistent,barnehageassistent,Salgs- og serviceyrker,5311,499320,92810,Fagbrev/fagskole,https://utdanning.no/yrker/y_barnehage_ass
Barnehagelærer,barnehagelaerer,Akademiske yrker,2342,642600,34312,,https://utdanning.no/yrker/y_barnehagelarer
Barnehagestyrer,barnehagestyrer,Ledere,1341,823200,4004,Bachelor,https://utdanning.no/yrker/y_barnehagestyrer
Barnelege,barnelege,Akademiske yrker,2212,1285920,17443,Bachelor,https://utdanning.no/yrker/y_barnelege
Barnesykepleier,barnesykepleier,Akademiske yrker,2221,765720,29478,Master,https://utdanning.no/yrker/y_sykepleier_barn
Barnevernspedagog,barnevernspedagog,Akademiske yrker,2635,672000,15329,Master,https://utdanning.no/yrker/y_barnevernspedagog
Bartender,bartender,Salgs- og serviceyrker,5132,449760,6629,Fagbrev/fagskole,https://utdanning.no/yrker/y_bartender
Bas/Nettmann,bas-nettmann,"Bønder, fiskere mv.",6222,582000,429,Fagbrev/fagskole,https://utdanning.no/yrker/y_basnettmann
Betongfagarbeider,betongfagarbeider,Håndverkere,7114,641040,8486,Fagbrev/fagskole,https://utdanning.no/yrker/y_betongfagarbeider
Bibliotekar,bibliotekar,Akademiske yrker,2622,640320,2470,,https://utdanning.no/yrker/y_bibliotekar
Bilberger,bilberger,"Prosess- og maskinoperatører, transportarbeidere mv.",8332,567120,24086,Fagbrev/fagskole,https://utdanning.no/yrker/y_bilberger
Billakkerer,billakkerer,Håndverkere,7132,584280,2858,,https://utdanning.no/yrker/y_billakkerer
Billedkunstner,billedkunstner,Akademiske yrker,2651,606120,356,,https://utdanning.no/yrker/y_billedkunstner
